  1.6785614e+005	  3.4781272e+005	
  6.1817196e+005	  3.9922426e+005	
  3.9887005e+005	  4.0492407e+005	
  6.0590162e+005	  5.7403130e+005	
  6.6990173e+005	  8.6477168e+005	
  4.1188673e+005	  7.8875141e+005	
  3.2060255e+005	  1.6152185e+005	
  2.4148753e+005	  8.4850388e+005	
  8.1578022e+005	  7.3685041e+005	
  1.3968238e+005	  5.5812340e+005	
  5.0781831e+005	  1.7561042e+005	
  8.5874617e+005	  5.5419661e+005	
  3.3756512e+005	  5.6215718e+005	
  8.0193830e+005	  3.2107926e+005	
  8.5205845e+005	  1.5768552e+005	
